session_timestamp_ms,phase,gsr,ecg_raw
844,relax,,1.789
846,relax,,1.52
849,relax,,1.535
852,relax,,1.867
855,relax,,2.278
858,relax,,2.375
860,relax,,2.19
863,relax,,1.852
866,relax,,1.51
868,relax,,1.403
871,relax,,1.632
874,relax,,2.063
876,relax,,2.322
879,relax,,2.268
882,relax,,1.979
884,relax,,1.628
887,relax,,1.413
890,relax,,1.535
892,relax,,1.921
896,relax,,2.297
898,relax,,2.38
901,relax,,2.17
904,relax,,1.833
906,relax,,1.54
909,relax,,1.505
912,relax,,1.794
914,relax,,2.204
917,relax,,2.39
920,relax,,2.263
922,relax,,1.935
925,relax,,1.584
928,relax,,1.417
930,relax,,1.579
933,relax,,1.989
935,relax,,2.292
939,relax,,2.297
942,relax,,2.038
944,relax,,1.716
947,relax,,1.422
950,relax,,1.457
952,relax,,1.804
955,relax,,2.185
958,relax,,2.307
960,relax,,2.121
963,relax,,1.789
966,relax,,1.481
968,relax,,1.408
971,relax,,1.676
973,relax,,2.111
976,relax,,2.356
979,relax,,2.278
982,relax,,1.975
985,relax,,1.632
988,relax,,1.442
990,relax,,1.579
993,relax,,1.994
996,relax,,2.341
998,relax,,2.375
1001,relax,,2.131
1004,relax,,1.764
1006,relax,,1.471
1009,relax,,1.471
1012,relax,1.24,1.808
1014,relax,,2.209
1017,relax,,2.346
1020,relax,,2.16
1022,relax,,1.818
1026,relax,,1.486
1029,relax,,1.408
1031,relax,,1.681
1034,relax,,2.116
1037,relax,,2.351
1040,relax,,2.248
1042,relax,,1.921
1045,relax,,1.559
1048,relax,,1.383
1050,relax,,1.559
1053,relax,,1.979
1056,relax,,2.287
1058,relax,,2.263
1061,relax,,2.019
1064,relax,,1.623
1067,relax,,1.403
1070,relax,,1.52
1073,relax,,1.931
1076,relax,,2.322
1078,relax,,2.39
1081,relax,,2.155
1084,relax,,1.789
1086,relax,,1.496
1089,relax,,1.491
1092,relax,,1.828
1094,relax,,2.234
1097,relax,,2.38
1100,relax,,2.214
1102,relax,,1.857
1105,relax,,1.525
1108,relax,,1.432
1112,relax,,1.696
1114,relax,,2.111
1117,relax,,2.326
1120,relax,,2.224
1122,relax,,1.906
1125,relax,,1.559
1128,relax,,1.393
1130,relax,,1.574
1133,relax,,1.989
1136,relax,,2.287
1138,relax,,2.278
1141,relax,,1.999
1144,relax,,1.642
1147,relax,,1.408
1149,relax,,1.5
1153,relax,,1.882
1156,relax,,2.248
1158,relax,,2.312
1161,relax,,2.072
1164,relax,,1.716
1166,relax,,1.442
1169,relax,,1.461
1172,relax,,1.804
1174,relax,,2.18
1177,relax,,2.248
1180,relax,,1.984
1182,relax,,1.525
1185,relax,,1.105
1188,relax,,0.934
1191,relax,,1.129
1193,relax,,1.549
1197,relax,,1.867
1200,relax,,1.911
1202,relax,,1.735
1205,relax,,1.496
1208,relax,,1.432
1210,relax,,1.725
1213,relax,,2.263
1215,relax,1.44,
1216,relax,,2.683
1218,relax,,2.732
1221,relax,,2.458
1224,relax,,2.058
1227,relax,,1.76
1229,relax,,1.784
1232,relax,,2.107
1235,relax,,2.4
1238,relax,,2.39
1241,relax,,2.116
1244,relax,,1.72
1246,relax,,1.427
1249,relax,,1.359
1252,relax,,1.657
1254,relax,,2.048
1257,relax,,2.204
1260,relax,,2.053
1262,relax,,1.73
1265,relax,,1.422
1268,relax,,1.334
1271,relax,,1.603
1273,relax,,2.033
1276,relax,,2.273
1280,relax,,2.175
1282,relax,,1.857
1285,relax,,1.491
1288,relax,,1.3
1290,relax,,1.457
1293,relax,,1.852
1296,relax,,2.175
1298,relax,,2.209
1301,relax,,1.916
1304,relax,,1.564
1306,relax,,1.325
1309,relax,,1.393
1312,relax,,1.774
1315,relax,,2.16
1317,relax,,2.243
1320,relax,,2.033
1324,relax,,1.706
1326,relax,,1.364
1329,relax,,1.339
1332,relax,,1.632
1334,relax,,2.033
1337,relax,,2.224
1340,relax,,2.048
1342,relax,,1.711
1345,relax,,1.369
1348,relax,,1.246
1350,relax,,1.476
1353,relax,,1.887
1356,relax,,2.151
1359,relax,,2.048
1361,relax,,1.75
1364,relax,,1.393
1368,relax,,1.227
1370,relax,,1.359
1373,relax,,1.774
1376,relax,,2.097
1378,relax,,2.102
1381,relax,,1.843
1384,relax,,1.491
1386,relax,,1.222
1389,relax,,1.281
1392,relax,,1.637
1395,relax,,2.014
1397,relax,,2.111
1400,relax,,1.916
1403,relax,,1.574
1405,relax,,1.281
1409,relax,,1.251
1412,relax,,1.554
1414,relax,,1.96
1417,relax,,2.141
1418,relax,1.24,
1420,relax,,2.009
1422,relax,,1.686
1425,relax,,1.364
1428,relax,,1.246
1430,relax,,1.505
1433,relax,,1.95
1436,relax,,2.243
1439,relax,,2.209
1441,relax,,1.931
1444,relax,,1.593
1447,relax,,1.417
1449,relax,,1.584
1453,relax,,2.019
1456,relax,,2.366
1458,relax,,2.4
1461,relax,,2.16
1464,relax,,1.818
1466,relax,,1.574
1469,relax,,1.647
1472,relax,,2.067
1474,relax,,2.463
1477,relax,,2.571
1480,relax,,2.356
1483,relax,,1.984
1485,relax,,1.667
1488,relax,,1.618
1491,relax,,1.931
1494,relax,,2.351
1497,relax,,2.527
1500,relax,,2.361
1502,relax,,2.009
1505,relax,,1.662
1508,relax,,1.535
1510,relax,,1.769
1513,relax,,2.204
1516,relax,,2.463
1519,relax,,2.4
1521,relax,,2.107
1524,relax,,1.755
1527,relax,,1.549
1529,relax,,1.701
1532,relax,,2.116
1536,relax,,2.458
1538,relax,,2.473
1541,relax,,2.199
1544,relax,,1.813
1546,relax,,1.535
1549,relax,,1.579
1552,relax,,1.931
1554,relax,,2.322
1557,relax,,2.414
1560,relax,,2.199
1563,relax,,1.823
1565,relax,,1.505
1568,relax,,1.452
1571,relax,,1.75
1573,relax,,2.17
1576,relax,,2.366
1580,relax,,2.239
1582,relax,,1.911
1585,relax,,1.569
1588,relax,,1.452
1590,relax,,1.667
1593,relax,,2.102
1596,relax,,2.375
1599,relax,,2.312
1601,relax,,2.019
1604,relax,,1.652
1607,relax,,1.461
1609,relax,,1.598
1612,relax,,1.994
1615,relax,,2.322
1617,relax,,2.326
1620,relax,1.44,2.067
1624,relax,,1.716
1626,relax,,1.452
1629,relax,,1.496
1632,relax,,1.857
1635,relax,,2.253
1637,relax,,2.361
1640,relax,,2.16
1643,relax,,1.804
